frequency,segment_length,overlap,trainable_params,model_size_mb,training_time,accuracy,auc,recall,precision,f1_score,trainable_parameters
1,11,1,,0.1112823486328125,470.57001399993896,0.8747686147689819,0.7821440696716309,0.42491623759269714,0.2448442280292511,0.12455538660287857,12981.0
1,15,1,,0.1112823486328125,456.13211703300476,0.8712480664253235,0.8015967607498169,0.4262457489967346,0.34033024311065674,0.16844542324543,12981.0
1,20,1,,0.1132354736328125,484.9295823574066,0.869562566280365,0.825001060962677,0.41365233063697815,0.47011879086494446,0.2205156534910202,13493.0
1,25,1,,0.1151885986328125,531.4241576194763,0.8595978021621704,0.8470028042793274,0.42520657181739807,0.5646275877952576,0.26921120285987854,14005.0
1,30,1,,0.1151885986328125,584.6136949062347,0.8548016548156738,0.864432692527771,0.46412691473960876,0.6485387682914734,0.3113856911659241,14005.0
4,11,1,,0.1190948486328125,210.29600071907043,0.930834949016571,0.7877406477928162,0.19855357706546783,0.3810725510120392,0.11594201624393463,15029.0
4,15,1,,0.1230010986328125,465.8847725391388,0.9130997657775879,0.8130007982254028,0.22418399155139923,0.5024732947349548,0.16023004055023193,16053.0
4,20,1,,0.1288604736328125,648.4724378585815,0.8892228007316589,0.8350095748901367,0.2891627848148346,0.5682311654090881,0.21276015043258667,17589.0
4,25,1,,0.1327667236328125,1079.4159994125366,0.8740296959877014,0.8509728312492371,0.34603771567344666,0.6562738418579102,0.26211830973625183,18613.0
4,30,1,,0.1386260986328125,924.28058385849,0.8612497448921204,0.8694923520088196,0.40105512738227844,0.7018957138061523,0.3056076765060425,20149.0
8,11,1,,0.1308135986328125,434.4362907409668,0.9267688393592834,0.793861985206604,0.2313939929008484,0.34908726811408997,0.11502600461244583,18101.0
8,15,1,,0.1386260986328125,210.23972344398499,0.9117947816848755,0.8035708665847778,0.20673133432865143,0.47810810804367065,0.1593393236398697,20149.0
8,20,1,,0.1483917236328125,873.7777373790741,0.8894150257110596,0.837155282497406,0.31341245770454407,0.5597743391990662,0.21191942691802979,22709.0
8,25,1,,0.1581573486328125,927.2998945713043,0.8746470212936401,0.8535204529762268,0.35954752564430237,0.650109589099884,0.2613385021686554,25269.0
8,30,1,,0.1679229736328125,1210.6677374839783,0.8635576963424683,0.8696313500404358,0.39736664295196533,0.7183399200439453,0.30493900179862976,27829.0
16,11,1,,0.1522979736328125,747.0777792930603,0.9299044013023376,0.7990076541900635,0.25155749917030334,0.37547123432159424,0.11333535611629486,23733.0
16,15,1,,0.1679229736328125,507.5956914424896,0.9105099439620972,0.8172684907913208,0.26122400164604187,0.4602414667606354,0.1577441543340683,27829.0
16,20,1,,0.1874542236328125,474.0302383899689,0.8901638388633728,0.8384691476821899,0.2933734953403473,0.563191831111908,0.2104138284921646,32949.0
16,25,1,,0.2069854736328125,1343.815571308136,0.8762056231498718,0.8580436706542969,0.35463106632232666,0.659110963344574,0.25991472601890564,38069.0
16,30,1,,0.2265167236328125,1254.187762260437,0.8648129105567932,0.8698245882987976,0.4215913712978363,0.7044982314109802,0.30364376306533813,43189.0
