frequency,segment_length,overlap,training_time,accuracy,auc,recall,precision,f1_score,trainable_parameters
1,11,0.5,63.165290117263794,0.931204617023468,0.7135250568389893,0.1533646285533905,0.18882466852664948,0.08739954233169556,10017.0
1,15,0.5,62.25563716888428,0.8824849128723145,0.7202125787734985,0.29751402139663696,0.19475065171718597,0.11464030295610428,10017.0
1,20,0.5,34.3675262928009,0.8532969355583191,0.7358825206756592,0.31738436222076416,0.221357062458992,0.1507936269044876,11041.0
1,30,0.5,40.16549491882324,0.7535609602928162,0.7834212779998779,0.6454018354415894,0.2707681655883789,0.2107008546590805,12065.0
1,60,0.5,25.696553230285645,0.751757800579071,0.8500936627388,0.7973231077194214,0.44057053327560425,0.3392798900604248,16161.0
2,11,0.5,45.15057110786438,0.9347445368766785,0.7098212838172913,0.11836734414100647,0.16292135417461395,0.08392709493637085,11041.0
2,15,0.5,60.10274529457092,0.8863857984542847,0.7295863628387451,0.29066887497901917,0.1930883228778839,0.11151525378227234,12065.0
2,20,0.5,46.026626110076904,0.8419820666313171,0.7325122356414795,0.3621533513069153,0.21223708987236023,0.14767524600028992,14113.0
2,30,0.5,49.04650688171387,0.7881951332092285,0.8055750727653503,0.6225941181182861,0.30194804072380066,0.20882479846477509,16161.0
2,60,0.5,27.466719388961792,0.767382800579071,0.8413182497024536,0.7560038566589355,0.4564965069293976,0.33793213963508606,24353.0
4,11,0.5,83.64479303359985,0.9340651631355286,0.7355214953422546,0.16694214940071106,0.1946050077676773,0.08294203877449036,14113.0
4,15,0.5,54.62677788734436,0.8866783976554871,0.7250316739082336,0.3046744465827942,0.19665947556495667,0.11038421094417572,16161.0
4,20,0.5,43.59453368186951,0.8526466488838196,0.7522546052932739,0.4052501916885376,0.2427518367767334,0.14689400792121887,19233.0
4,30,0.5,35.43680691719055,0.8182439208030701,0.7979894280433655,0.5494966506958008,0.33064109086990356,0.2083551585674286,24353.0
4,60,0.5,15.9680917263031,0.20332030951976776,0.5112531781196594,1.0,0.20332030951976776,0.33793213963508606,39713.0
8,11,0.5,63.512829065322876,0.9138985276222229,0.6885532140731812,0.26549413800239563,0.17153680324554443,0.08189018815755844,20257.0
8,15,0.5,58.77979898452759,0.9111078381538391,0.7221996188163757,0.19915612041950226,0.21261261403560638,0.10925182700157166,24353.0
8,20,0.5,68.85047030448914,0.8691637516021729,0.7701321244239807,0.34793388843536377,0.2560827136039734,0.1458885669708252,29473.0
8,30,0.5,40.63676929473877,0.8118048906326294,0.764641523361206,0.49831366539001465,0.30701297521591187,0.2074151635169983,39713.0
8,60,0.5,25.17433261871338,0.20253905653953552,0.5482726693153381,1.0,0.20253905653953552,0.3368523120880127,70433.0
16,11,0.5,109.93374371528625,0.9202274084091187,0.7032359838485718,0.23044218122959137,0.16969317197799683,0.08070547878742218,31521.0
16,15,0.5,48.0746009349823,0.9110103249549866,0.7139987349510193,0.20475785434246063,0.21327432990074158,0.10855428874492645,39713.0
16,20,0.5,44.62999200820923,0.9223566055297852,0.5,0.0,0.0,0.1440984606742859,49953.0
16,30,0.5,108.90306210517883,0.8068292737007141,0.7872247695922852,0.5645161271095276,0.31191369891166687,0.2061602920293808,70433.0
16,60,0.5,30.492971658706665,0.20253905653953552,0.4719484746456146,1.0,0.20253905653953552,0.3368523120880127,131873.0
