model_type,pruning_rate,quantization,accuracy,auc,precision,recall,f1_score,total_params,nonzero_params,actual_sparsity,inference_time_ms
baseline,0.0,no_quant,0.8186169173666732,0.8554878296207895,0.547117296222664,0.6571155682903533,0.5970925952425232,16613,16613,0.0,0.006511211395263672
baseline,0.0,dynamic,0.8186169173666732,0.8554581290355266,0.5469678953626635,0.6590257879656161,0.5977907236610568,16613,16613,0.0,0.005154609680175781
baseline,0.0,float16,0.8185192420394608,0.8552891318257985,0.5468625893566322,0.6575931232091691,0.5971378515500914,16613,16613,0.0,0.006816387176513672
pruned_0.2,0.2,no_quant,0.7915608517288533,0.8532337516395426,0.49359385009609225,0.7359121298949379,0.5908741850709806,16613,16613,0.0,0.0065517425537109375
pruned_0.2,0.2,dynamic,0.7912678257472162,0.8532416092474897,0.4931155939801473,0.7354345749761223,0.5903775635993881,16613,16613,0.0,0.005221366882324219
pruned_0.2,0.2,float16,0.7913655010744286,0.8531988615147028,0.4932821497120921,0.7363896848137536,0.5908045496554405,16613,16613,0.0,0.0064849853515625
pruned_0.3,0.3,no_quant,0.8109005665168978,0.8474215259521545,0.5315243415802074,0.6361031518624641,0.5791303851837093,16613,16613,0.0,0.006673336029052734
pruned_0.3,0.3,dynamic,0.8103145145536238,0.8474663553646588,0.5302066772655007,0.6370582617000955,0.5787418159287454,16613,16613,0.0,0.005104541778564453
pruned_0.3,0.3,float16,0.810119163899199,0.8473394608601993,0.5298566878980892,0.6356255969436485,0.5779417654356751,16613,16613,0.0,0.006499290466308594
pruned_0.4,0.4,no_quant,0.8067005274467669,0.8367612734391273,0.5230460921843687,0.6232091690544412,0.5687513123342877,16613,16613,0.0,0.006504058837890625
pruned_0.4,0.4,dynamic,0.8067982027739793,0.8370715609947402,0.5232371794871795,0.623686723973257,0.5690631312114188,16613,16613,0.0,0.005075931549072266
pruned_0.4,0.4,float16,0.8067005274467669,0.8366630240203556,0.5230460921843687,0.6232091690544412,0.5687513123342877,16613,16613,0.0,0.006487369537353516
pruned_0.5,0.5,no_quant,0.8097284625903497,0.8338927774275083,0.5299425758818704,0.6170009551098377,0.5701676466693689,16613,16613,0.0,0.006527900695800781
pruned_0.5,0.5,dynamic,0.809533111935925,0.8340481411010596,0.5294599018003273,0.6179560649474689,0.5702952345636256,16613,16613,0.0,0.00530242919921875
pruned_0.5,0.5,float16,0.8096307872631373,0.8338715794777107,0.5297009422367882,0.6174785100286533,0.5702314828175462,16613,16613,0.0,0.006539821624755859
pruned_0.6,0.6,no_quant,0.8151006055870287,0.8329594519283273,0.5446468236339405,0.5854823304680038,0.5643267624933641,16613,16613,0.0,0.006566047668457031
pruned_0.6,0.6,dynamic,0.8157843328775152,0.8328320883129459,0.5464700625558534,0.5840496657115568,0.5646352224467577,16613,16613,0.0,0.0051403045654296875
pruned_0.6,0.6,float16,0.8152959562414535,0.8329031586176615,0.545131169408626,0.5854823304680038,0.5645866412909541,16613,16613,0.0,0.006864070892333984
pruned_0.7,0.7,no_quant,0.8026958390310608,0.8426572061066984,0.5135531135531135,0.6695319961795606,0.5812603157115582,16613,16613,0.0,0.006518363952636719
pruned_0.7,0.7,dynamic,0.8022074623949991,0.842612142138733,0.5126142595978063,0.6695319961795606,0.5806584723140045,16613,16613,0.0,0.005168914794921875
pruned_0.7,0.7,float16,0.8026958390310608,0.8426552710241442,0.5135531135531135,0.6695319961795606,0.5812603157115582,16613,16613,0.0,0.006525516510009766
pruned_0.8,0.8,no_quant,0.8238913850361399,0.8496056770865585,0.5611087778244435,0.6380133715377269,0.5970949222727022,16613,16613,0.0,0.006604194641113281
pruned_0.8,0.8,dynamic,0.8229146317640164,0.8496850741101435,0.5589098532494758,0.6365807067812799,0.5952220980119066,16613,16613,0.0,0.0050640106201171875
pruned_0.8,0.8,float16,0.8236960343817151,0.8495767094871116,0.5606378514477549,0.6380133715377269,0.5968281834002227,16613,16613,0.0,0.00644683837890625
