Sample,"Volt avg 1","Curr avg 1"
0,5.00016,0.000769173
1,5.00016,0.000682642
2,5.00006,0.00091984
3,5.00029,0.000678777
4,5.00031,0.00094038
5,5.00014,0.000671532
6,5.00017,0.000676733
7,5.00023,0.000863548
8,5.00022,0.000683885
9,5.00017,0.00103217
10,5.0002,0.00066736
11,5.00018,0.0008608
12,5.00007,0.000669446
13,5.0003,0.000694366
14,5.00003,0.000978922
15,5.00008,0.000855958
16,5.00034,0.000678398
17,5.00015,0.00076906
18,5.00016,0.000680745
19,5.00023,0.000934145
20,5.00025,0.000682914
21,5.00011,0.000766233
22,5.00021,0.000843941
23,5.00013,0.000676823
24,5.00016,0.000851705
25,5.00006,0.000680745
26,5.00014,0.000780713
27,5.0001,0.000942647
28,5.00017,0.000644664
29,5.00009,0.000854292
30,5.00022,0.000774609
31,5.00013,0.000667359
32,5.00011,0.000956837
33,5.00023,0.000582697
34,4.99999,0.000952302
35,5.00023,0.000786375
36,5.00022,0.000673402
37,5,0.000937845
38,5.00009,0.000685181
39,5.00016,0.00068086
40,5.00025,0.000935357
41,5.00016,0.000665321
42,5.00012,0.000952685
43,5.00029,0.000702126
44,5.00013,0.000872411
45,5.00017,0.000663477
46,5.00024,0.000926422
47,5.00011,0.000685904
48,5.00023,0.000682949
49,5.00018,0.000949368
50,5.00015,0.00059101
51,5.00023,0.000957657
52,5.00015,0.000783672
53,5.00018,0.00067667
54,4.99999,0.00070095
55,5.00031,0.000902606
56,5.0001,0.000679363
57,5.00018,0.000934025
58,5.00025,0.000659315
59,5.00024,0.000867532
60,5.00022,0.00067636
61,5.00017,0.000780887
62,5.00012,0.000936772
63,5.00003,0.000664415
64,5.0003,0.000930753
65,5.00023,0.000699577
66,5.00006,0.00066479
67,5.00019,0.00113408
68,5.00013,0.000396956
69,5.0001,0.00105268
70,5.00012,0.000671146
71,5.00016,0.000684947
72,5.00025,0.00095715
73,5.00003,0.000684635
74,5.00006,0.000778564
75,5.00034,0.000697727
76,5.00025,0.000861302
77,5.00024,0.000676202
78,5.00011,0.000777613
79,5.00003,0.000693508
80,5.00024,0.000931612
81,5.00012,0.00067167
82,5.00009,0.000952831
83,5.00022,0.000669148
84,5.0003,0.000671181
85,5.00032,0.000854927
86,5.00021,0.000683813
87,5.0002,0.000771618
88,5.00013,0.000960199
89,5.0001,0.000657332
90,5.00013,0.000691185
91,5.00009,0.000918236
92,5.00011,0.000673073
93,5.00028,0.000962034
94,5.00011,0.000581763
95,5.00024,0.000956267
96,5.00028,0.0007799
97,5.00033,0.000658816
98,5.0003,0.000946517
99,5.00021,0.000662649
100,5.00008,0.000947548
101,5.00021,0.000670184
102,5.00025,0.000687004
103,5.00016,0.000854741
104,4.99999,0.000814583
105,5.0003,0.000901287
106,5.0002,0.000673934
107,5.00009,0.000864966
108,5.00016,0.00067543
109,5.00005,0.000673473
110,5.00017,0.0009628
111,5.00011,0.000672265
112,5.0001,0.000692219
113,5.00022,0.000991614
114,5.00013,0.000681645
115,5.00016,0.000917018
116,5.00004,0.000722586
117,5.00001,0.000674363
118,5.00032,0.00101432
119,5.00018,0.000964509
120,5.00011,0.00040882
121,5.00014,0.000955572
122,5.00017,0.000678194
123,5.0002,0.000893374
124,5.00021,0.000761481
125,5.00013,0.000670777
126,5.00018,0.000732177
127,4.99997,0.000957792
128,5.00012,0.000674598
129,4.99995,0.000677686
130,5.00015,0.000936878
131,5.00029,0.000675406
132,5.00006,0.000795258
133,5.00015,0.000828887
134,5.00002,0.000675355
135,4.9999,0.000939605
136,5.00022,0.000681596
137,5.00009,0.00085948
138,5.00006,0.000677406
139,5.00006,0.000938818
140,5.00002,0.000673108
141,5.00033,0.000952099
142,5.00019,0.000674093
143,5.00009,0.0007291
144,5.00036,0.000797941
145,5.00014,0.000931325
146,5.00007,0.000965607
147,5.00017,0.000503321
148,5.00002,0.000678919
149,4.99997,0.000904189
150,5.00021,0.000739168
151,5.00013,0.000675001
152,5.00027,0.000777497
153,4.99997,0.000928582
154,5.00021,0.000691769
155,5.00004,0.000725682
156,5.00013,0.00090693
157,5.00006,0.000674314
158,5.00026,0.0011448
159,5.00012,0.000437822
160,5.0003,0.00101006
161,5.00034,0.000679555
162,5.00032,0.000666048
163,5.00012,0.000933781
164,5.00017,0.000672749
165,5.00024,0.000673482
166,5.00006,0.000951099
167,5.00017,0.000854912
168,5.00002,0.000678009
169,5.00019,0.000765197
170,5.00022,0.000660478
171,4.99996,0.000815074
172,5.00013,0.000791917
173,5.00016,0.000673138
174,5.00034,0.000940169
175,5.00018,0.000679023
176,5.00017,0.000863546
177,4.99999,0.000683906
178,5.00024,0.000773099
179,5.00009,0.000949274
180,5.00016,0.000659611
181,5.00009,0.000956695
182,5.0002,0.000658651
183,5.00012,0.000790722
184,5.00029,0.000830058
185,5.00007,0.000787622
186,5.00021,0.000756355
187,5.00018,0.000785546
188,5.00023,0.000661597
189,4.99994,0.000723386
190,5.00015,0.000902572
191,5.00001,0.000672149
192,5.00017,0.000934563
193,5.00019,0.000692493
194,5.00005,0.000858936
195,5.00013,0.000657647
196,5.0001,0.000778484
197,5.00032,0.000946696
198,5.00017,0.000954852
199,5.00006,0.000407007
200,5.00025,0.000767814
201,5.0001,0.00093822
202,5.00022,0.000651844
203,5.00013,0.000922844
204,5.00018,0.000658376
205,5.00004,0.000904676
206,5.00033,0.000710136
207,5.00023,0.000847512
208,5.00021,0.00069793
209,5.00021,0.00078828
210,5.00015,0.000696631
211,5.00015,0.000862637
212,5.00021,0.000672552
213,5.00008,0.000777596
214,5.00001,0.000928231
215,5.00014,0.00067069
216,5.00006,0.000904001
217,5.0002,0.00101653
218,5.00021,0.000399781
219,4.99995,0.000914231
220,5.00034,0.000670254
221,5.00012,0.000958465
222,4.99992,0.000729875
223,5.00016,0.000676839
224,5.00008,0.000942962
225,5.00009,0.000680525
226,5.00024,0.000723568
227,5.00011,0.000908906
228,5.00019,0.000704448
229,5.00004,0.000676145
230,5.00003,0.000999304
231,5.0002,0.000671156
232,5.00015,0.000974743
233,5.00011,0.000668774
234,5.00025,0.000686066
235,4.99999,0.0009759
236,5.00016,0.000691638
237,5.00021,0.00065821
238,5.00025,0.000943264
239,5.00009,0.000660431
240,5.0002,0.000910879
241,5.00024,0.000683777
242,5.00011,0.000670726
243,5.00019,0.000953483
244,5.00017,0.000678121
245,5.00013,0.000739165
246,5.00011,0.000786401
247,4.99997,0.0007754
248,5.00024,0.00068372
249,5.0002,0.000960977
250,5.00029,0.000962401
251,5.0001,0.000407886
252,5.0001,0.000774005
253,5.00011,0.000954498
254,5.0002,0.000665297
255,5.0001,0.000947826
256,5.00011,0.000652604
257,5.00023,0.000976298
258,5.00004,0.000674535
259,5.00023,0.000673139
260,5.00015,0.000952852
261,5.00016,0.0006543
262,5.00023,0.000936152
263,5.0002,0.000678628
264,5.00014,0.000678417
265,5.00032,0.000957528
266,5.00001,0.000662294
267,5.00013,0.00065978
268,5.00021,0.000864152
269,5.00019,0.000678372
270,5.00004,0.000787017
271,5.00038,0.000947973
272,5.00006,0.000654068
273,4.99994,0.000941557
274,5.00023,0.000657608
275,5.00022,0.000940265
