Sample,"Volt avg 1","Curr avg 1"
0,5.00012,0.000819666
1,5.00024,0.000871485
2,5.00023,0.000661163
3,5.00032,0.000962806
4,5.00012,0.000667504
5,5.00011,0.000987873
6,5.00025,0.000694048
7,5.00021,0.000686284
8,5.00026,0.000919027
9,5.00012,0.000721271
10,5.00017,0.000949533
11,5.00018,0.000676413
12,5.00013,0.000928115
13,5.00032,0.000807152
14,5.00017,0.00067651
15,5.00021,0.000861093
16,5.00028,0.000678891
17,5.0001,0.000773366
18,5.00015,0.0007685
19,5.00017,0.000849158
20,5.00004,0.000676469
21,5.00018,0.000946106
22,5.00017,0.000671077
23,5.00027,0.000964852
24,5.00008,0.000678439
25,5.00026,0.000854177
26,5.00016,0.000784405
27,5.00025,0.000662589
28,5.00016,0.000943445
29,5.00029,0.000682437
30,5.00013,0.000961132
31,5.00014,0.000669266
32,5.00018,0.00067736
33,5.00022,0.000860885
34,5.00015,0.00101919
35,5.00023,0.000450648
36,5.00015,0.000942727
37,5.00034,0.000665504
38,5.00019,0.000936751
39,5.00007,0.000660918
40,5.0001,0.000954506
41,5.00005,0.000851744
42,4.99996,0.000687091
43,5.00015,0.000783071
44,5.00019,0.000678515
45,5.0002,0.000951587
46,5.00024,0.000676611
47,5.00016,0.000963525
48,5.00023,0.000657558
49,5.00011,0.000840878
50,5.00025,0.000812507
51,5.00011,0.000680692
52,5.00014,0.000735653
53,5.00021,0.000958136
54,5.00011,0.000673497
55,5.00005,0.000947829
56,5.00015,0.000667062
57,5.00015,0.000667937
58,5.00018,0.000937673
59,5.00002,0.000668048
60,5.00016,0.000961826
61,5.00022,0.000678651
62,5.00018,0.000974052
63,5.00012,0.000572816
64,5.00016,0.000955192
65,5.00005,0.000749399
66,5.00005,0.000961326
67,5.00017,0.000692708
68,5.00007,0.000677481
69,5.00004,0.0009359
70,5.00024,0.000683632
71,5.00014,0.000964118
72,5.00028,0.000661474
73,5.00015,0.000670693
74,5.00019,0.000959094
75,5.00012,0.000676363
76,5.0001,0.000700909
77,5.0001,0.000952659
78,5.00024,0.000878944
79,5.00013,0.000667265
80,5.00013,0.00095513
81,5.00021,0.000672856
82,5.00001,0.000766209
83,5.00037,0.000857486
84,5.00016,0.000699988
85,5.00023,0.000967114
86,5.00024,0.000728117
87,5.00017,0.000933978
88,5.00017,0.000678317
89,5.0001,0.000682288
90,5.00015,0.00102662
91,5.00017,0.000654792
92,5.00024,0.000691262
93,5.00019,0.000946306
94,5.00022,0.00072508
95,4.99999,0.000873419
96,5.00025,0.000753695
97,5.00022,0.000679986
98,4.99996,0.00102594
99,5.00021,0.000657013
100,5.00011,0.000674354
101,5.00021,0.000947088
102,5.00011,0.000674721
103,4.99995,0.00102815
104,5.00032,0.00102568
105,5.00008,0.000404451
106,5.00011,0.000997573
107,5.00015,0.000671709
108,4.99996,0.00093926
109,5.00019,0.000697365
110,5.0002,0.00067296
111,5.00029,0.00102546
112,5.00002,0.000665952
113,5.00013,0.000677916
114,5.0001,0.000970736
115,5.00022,0.000792539
116,5.00019,0.000664334
117,5.00031,0.000863105
118,5.00029,0.000668027
119,5.00017,0.000782684
120,5.00021,0.000939777
121,5.00011,0.000661954
122,5.00014,0.000962207
123,5.00021,0.000683527
124,5.00014,0.000930524
125,5.00034,0.000852053
126,5.00016,0.00067861
127,5.00015,0.000777501
128,5.00017,0.000937045
129,5.00035,0.000677864
130,5.00021,0.000673991
131,5.00017,0.000929596
132,5.00011,0.000679839
133,5.00016,0.000940504
134,5.00015,0.000695378
135,5.00019,0.000688174
136,5.00019,0.00102308
137,5.00028,0.000656238
138,5.0002,0.00068436
139,4.99993,0.000937583
140,5.00005,0.000663485
141,5.00005,0.000951375
142,5.00016,0.000667964
143,5.0001,0.000952651
144,5.00015,0.00067954
145,5.00022,0.00096557
146,5.00017,0.000678411
147,5.00031,0.000869179
148,5.00026,0.00067964
149,5.00005,0.00104321
150,5.00011,0.00066843
151,5.00017,0.000698252
152,5.00036,0.000975219
153,5.00009,0.000710486
154,5.00007,0.000662489
155,5.00011,0.000942403
156,5.00024,0.000671089
157,5.00009,0.000798456
158,5.00014,0.000971225
159,5,0.000681497
160,4.99998,0.000905399
161,5.00026,0.000771716
162,5.00015,0.000668968
163,5.00024,0.000942121
164,5.00017,0.000966527
165,5.00044,0.000668075
166,5.00008,0.000668541
167,5.00006,0.000859784
168,5.00004,0.00067583
169,5.00017,0.000781187
170,5.00013,0.000947646
171,5.00007,0.000663571
172,5,0.000960197
173,4.99994,0.000673045
174,5.00015,0.00088155
175,5.00033,0.000734175
176,5.00011,0.000881489
177,5.00016,0.000665964
178,5.00018,0.000784062
179,5.00017,0.000679472
180,5.00015,0.000926455
181,5.00019,0.000688983
182,5.00016,0.000943323
183,5.00021,0.000674308
184,5.0001,0.00114004
185,5.00019,0.000690132
186,5.00013,0.000774309
187,5.00009,0.000683307
188,5.00017,0.000685405
189,5.00025,0.000947964
190,5.00027,0.000665775
191,5.00018,0.000944223
192,5.00026,0.000678312
193,5.0002,0.000853961
194,5.00009,0.000679754
195,5.00024,0.000779519
196,5.00022,0.000973151
197,5.00015,0.000641302
198,5.00027,0.00094485
199,5.00022,0.000655606
200,5.00007,0.000955618
201,5.00015,0.000662649
202,5.00006,0.000714916
203,5.00017,0.000931692
204,5.00019,0.00072964
205,5.00019,0.000957812
206,5.00018,0.000673548
207,5.00011,0.000945664
208,5.00016,0.000721771
209,5.00016,0.000690419
210,5.00025,0.000935314
211,5.00022,0.000680803
212,5.00016,0.000919668
213,5.00021,0.000676146
214,5.00009,0.000929711
215,5.00012,0.000671672
216,5.00005,0.000682296
217,5.00013,0.000947802
218,4.99998,0.000682363
219,5.00011,0.00098407
220,5.00021,0.000658753
221,5.00026,0.000731049
222,5.00026,0.000955396
223,5.00022,0.000675556
224,5.00023,0.000958556
225,5.00016,0.00073115
226,5.00018,0.000963365
227,5.00012,0.000671559
