Sample,"Volt avg 1","Curr avg 1"
0,5.00056,0.00228125
1,5.00028,5.68618e-005
2,5.00022,0.00268387
3,5.00019,5.67623e-005
4,5.00017,5.65812e-005
5,5.00031,0.00253095
6,5.00014,5.67747e-005
7,5.00019,0.00251225
8,5.00033,3.04774e-005
9,5.00002,5.67765e-005
10,5.00031,0.00252024
11,5.00025,5.71146e-005
12,5.00007,5.70113e-005
13,5.00015,0.00250228
14,5.00002,5.66864e-005
15,5.0003,0.00247459
16,5.00024,5.45375e-005
17,5.00031,5.68272e-005
18,5.00013,0.00259784
19,5.00014,5.68961e-005
20,5.00011,0.00237668
21,5.00024,4.77161e-005
22,5.0002,5.66577e-005
23,5.00022,0.00247284
24,5.00008,5.70096e-005
25,4.99991,0.00254633
26,5.00044,-4.18143e-006
27,5.00023,5.68314e-005
28,5.0003,0.00249774
29,5.00024,5.70596e-005
30,5.00015,5.68397e-005
31,5.0001,0.00245142
32,5.00013,5.69964e-005
33,5.00018,0.00253636
34,5.00034,5.67761e-005
35,5.00022,5.69628e-005
36,5.00018,0.00253195
37,5.00016,5.68986e-005
38,5.00021,0.00253341
39,5.00017,5.19449e-005
40,5.00028,5.65458e-005
41,5.00006,0.0025149
42,5.00022,5.70101e-005
43,5.00001,0.000115175
44,5.00037,0.00244364
45,5.00011,5.68973e-005
46,5.00016,0.00251807
47,4.99995,5.66143e-005
48,5.00018,5.69579e-005
49,5.0001,0.00249755
50,5.00022,5.69584e-005
51,5.00018,0.00249705
52,5.00013,5.16758e-005
53,5.00013,5.69854e-005
54,5.00025,0.00249356
55,5.00037,5.70732e-005
56,5.00001,0.00254953
57,5.00011,1.41339e-006
58,5.00024,5.67847e-005
59,5.0002,0.00249384
60,5.00016,5.66995e-005
61,5.00015,5.67817e-005
62,5.00017,0.00246728
63,5.00018,5.66307e-005
64,5.00022,0.00252771
65,5.00027,5.53024e-005
66,5.0001,5.68294e-005
67,5.00005,0.00252892
68,5.00013,5.69004e-005
69,5.00003,0.00269319
70,5.00035,2.7942e-005
71,5.0003,5.69249e-005
72,5.00018,0.00250787
73,5.00007,5.73235e-005
74,5.00012,5.70983e-005
75,5.00026,0.0024596
76,5.00023,5.69909e-005
77,5.00024,0.0025504
78,5.00025,5.67007e-005
79,5.00031,5.68368e-005
80,5.00022,0.00242589
81,5.00009,5.68857e-005
82,5.0001,0.00249719
83,5.00016,5.52592e-005
84,5.00015,5.66844e-005
85,5.00008,0.00246912
86,5.00011,5.67364e-005
87,5.00023,0.00248501
88,5.00019,4.54866e-005
89,5.00025,5.68401e-005
90,5.0001,0.00245343
91,5.00006,5.69679e-005
92,5.00023,5.71194e-005
93,5.00012,0.00250293
94,5.00011,5.69196e-005
95,5.00004,0.00248191
96,5.00018,5.64273e-005
97,5.00028,5.69276e-005
98,5.00015,0.00247109
99,5.00031,5.66737e-005
100,5.00011,0.00252752
101,5.00041,5.36549e-005
102,5.00022,5.67581e-005
103,5.00022,0.00254395
104,5.00018,5.68402e-005
105,4.99955,0.00116507
106,5.00107,0.00166224
107,5.00026,5.69025e-005
108,5.00019,0.00240063
109,5.00012,5.68747e-005
110,5.00011,5.69106e-005
111,5.00018,0.00253037
112,5.00033,5.73548e-005
113,5.00017,0.00257787
114,5.00017,7.18146e-006
115,5.00019,5.66523e-005
116,5.00027,0.00248992
117,5.00012,5.69824e-005
118,5.00019,5.67329e-005
119,5.00009,0.00250437
120,5.00008,5.69237e-005
121,5.00021,0.00249848
122,5.00026,5.66519e-005
123,5.00036,5.65769e-005
124,5.00022,0.00250656
125,5.00023,5.68664e-005
126,5.00025,0.00247495
127,5.00032,4.9304e-005
128,5.00024,5.66724e-005
129,5.00025,0.00250254
130,5.00031,5.69966e-005
131,5.00028,5.6667e-005
132,5.00032,0.00244341
133,5.00009,5.6577e-005
134,5.00019,0.00254678
135,5.00013,5.70767e-005
136,5.00018,5.6985e-005
137,5.00017,0.00268275
138,5.00018,5.70053e-005
139,5.00004,0.00250291
140,5.00036,4.56639e-005
141,5.00031,5.67426e-005
