Sample,"Volt avg 1","Curr avg 1"
0,5.00029,0.00247375
1,5.00021,0.00259613
2,5.00038,0.00243102
3,5.00018,0.00250318
4,5.00012,0.00249188
5,4.99979,0.00414006
6,5.00055,0.00329213
7,5.00016,0.00243475
8,5.00023,0.00243992
9,5.00016,0.00244763
10,5.00023,0.00247879
11,4.9996,0.00322455
12,5.00075,0.00416762
13,5.0003,0.00249081
14,5.00001,0.00245208
15,5.00025,0.00244185
16,5.00025,0.0024309
17,5.00034,0.00251832
18,5.00013,0.00494585
19,5.00031,0.00250316
20,5.00006,0.00247264
21,5.00024,0.00249765
22,5.00003,0.00249612
23,5.00015,0.00253011
24,4.99962,0.00428257
25,5.00075,0.0032599
26,5.00008,0.00248094
27,5.00021,0.00248023
28,5.00007,0.0025033
29,5.00019,0.0024736
30,5.00013,0.00243338
31,5.00004,0.00494927
32,5.0002,0.00251412
33,5.00031,0.00249997
34,5.00004,0.00250561
35,5.0001,0.00248009
36,5.00023,0.00256782
37,5.00011,0.00259991
38,5.00016,0.00486973
39,5.00032,0.00245174
40,5.00007,0.00250569
41,5.00014,0.00247843
42,5.00007,0.00249691
43,5.00028,0.00244432
44,5.0002,0.00492763
45,5.00046,0.00251536
46,5.00019,0.00248502
47,5.00006,0.00247224
48,5.00018,0.00259468
49,5.00002,0.00250515
50,4.99968,0.00308162
51,5.00056,0.00430357
52,5.00018,0.00251577
53,5.00022,0.00253842
54,5.0001,0.00249289
55,5.00001,0.00250018
56,5.00021,0.00244411
57,5.00015,0.00474924
58,5.00038,0.00266593
59,5.00024,0.00249305
60,5.00024,0.00250326
61,5.00008,0.00259406
62,5.0001,0.00249862
63,5.00017,0.00247967
64,5.00024,0.00485435
65,5.0006,0.00242987
66,5.00026,0.00241542
67,5.00013,0.00254882
68,5.00029,0.00250711
69,5.00011,0.00258975
70,4.99997,0.00494142
71,5.00049,0.00268212
72,5.00041,0.00243923
73,5.00011,0.00250507
74,5.00015,0.00245235
75,5.0002,0.00250891
76,5.00019,0.00250795
77,5.00012,0.00488533
78,5.00037,0.00268981
79,5.00021,0.00250598
80,5.00009,0.00245781
81,5.00017,0.00249919
82,5.00018,0.00249648
83,4.99964,0.00285469
84,5.00058,0.00446134
85,5.00014,0.00243787
86,5.00008,0.00250796
87,5.00025,0.00248835
88,5.00022,0.00241138
89,5.00026,0.00249862
90,5.00003,0.00490831
91,5.00012,0.002458
92,5.00012,0.00243903
93,5.00015,0.00245021
94,5.00015,0.00248362
95,5.00011,0.00251287
96,5.00008,0.00489736
97,5.00031,0.00243827
98,5.00031,0.00250728
99,5.00016,0.00244945
100,5.00004,0.0024955
101,5.00007,0.00249647
102,4.9999,0.00485284
103,5.00047,0.00254268
104,5.00011,0.00247617
105,5.00018,0.00263304
106,5.00027,0.00248275
107,5.00024,0.00245563
108,5.00012,0.00250746
109,5.00008,0.00495389
110,5.00021,0.00235354
111,5.0002,0.00239206
112,5.00013,0.00247682
113,5.00015,0.00250306
114,5,0.0025086
115,5.00015,0.0049436
116,5.00033,0.00247648
117,5.00007,0.00252764
118,5.0001,0.00250813
119,5.00029,0.00248545
120,5.00024,0.00244512
121,4.9999,0.0049205
122,5.0003,0.00247614
123,5.00024,0.00258009
124,5.00011,0.00248853
125,5.00023,0.00250206
126,5.00015,0.00249229
127,5.00019,0.00249952
128,5.00002,0.0049026
129,5.00037,0.00245263
130,4.99994,0.00261976
131,5.00025,0.00250206
132,5.0001,0.00261202
133,5.0002,0.00244067
134,4.99964,0.0033568
135,5.00066,0.0041107
136,5.00018,0.00243542
137,5.00008,0.00249179
138,5.00033,0.0024363
139,5.0002,0.00250475
140,5.00027,0.00262389
141,4.99992,0.00483663
142,5.00043,0.0025401
143,5,0.00249154
144,5.00011,0.00250068
145,5.00019,0.00248618
146,5.00016,0.00244714
147,4.99978,0.00467874
148,5.00048,0.00268175
149,5.00026,0.00248413
150,5.00017,0.00244935
151,5.00026,0.00244208
152,5.00039,0.00243799
153,4.99967,0.0036274
154,5.00071,0.00373521
155,5.00028,0.00248592
156,5.0001,0.0024888
157,5.00017,0.00250099
158,5.00031,0.00249784
159,5.00031,0.00253318
160,5.00009,0.00489039
161,5.00034,0.00250878
162,5.00018,0.00250008
163,5.00018,0.00250449
164,4.99999,0.00244255
165,5.00016,0.00244521
166,4.99998,0.0048767
167,5.00042,0.00251309
168,5.00017,0.00248841
169,5.00024,0.0024807
170,5.00021,0.00244703
171,5.00012,0.0024354
172,4.99973,0.00478297
173,5.00041,0.0026324
174,5.00028,0.00245755
175,5.00014,0.00244446
176,5.00028,0.002495
177,5.0002,0.00251136
178,4.9996,0.00352962
179,5.00068,0.00378549
180,5.00025,0.00242187
181,5.00016,0.0025034
182,5.00022,0.00249157
183,5.00018,0.00250285
184,5.00006,0.00253706
185,5.0003,0.00492262
186,5.00021,0.00248881
187,5.0003,0.00247109
188,5.00024,0.00249978
189,5.00022,0.00250934
190,5.00029,0.00250681
191,4.99999,0.00476419
192,5.00045,0.00263064
193,5.00029,0.00245018
194,5.00017,0.00243629
195,5.00009,0.00243195
196,5.00007,0.00262367
197,5,0.00257913
198,5.00046,0.00482633
199,5.00026,0.00248942
200,5.00011,0.00247489
201,5.00014,0.0024975
202,5.00025,0.00249149
203,5.00013,0.00260075
204,4.9998,0.00355615
205,5.00064,0.00398197
206,5.0003,0.00261773
207,5.00002,0.00260902
208,5.00012,0.00249482
209,5.00011,0.00249651
210,5.00009,0.00258443
211,5.00001,0.00255998
212,5.00008,0.00278224
213,5.0005,0.00488375
214,5.00023,0.00249309
215,5.00032,0.00250044
216,5.00014,0.00247842
217,5.0002,0.00249775
218,5.00024,0.0024203
219,5.0001,0.00491004
220,5.00037,0.00252032
221,5.00021,0.00249433
222,5.00024,0.0024782
223,5.00013,0.00249078
224,5.00018,0.0024958
225,4.99963,0.0036674
226,5.00059,0.00377712
227,5.00013,0.00248059
228,5.00032,0.00247373
229,5.00019,0.00248486
230,5.00012,0.0025049
231,5.00014,0.00250195
232,4.99995,0.00490961
233,5.00035,0.00244016
234,5.00011,0.002422
235,5.00019,0.00247297
236,5.00014,0.0024516
237,5.00036,0.00249434
238,5.00013,0.00488208
239,5.00039,0.00245558
240,5.00018,0.0024479
241,5.00018,0.00247483
242,5.00009,0.00247554
243,5.00018,0.00249953
244,5.00009,0.00482956
245,5.00029,0.00243375
246,5.00018,0.00251022
247,5.00028,0.00250305
248,5.0001,0.00250893
249,5,0.00242234
250,5.00001,0.00497012
251,5.00021,0.00252004
252,5.00019,0.00242976
253,5.00003,0.00251387
254,5.00017,0.00260454
255,5.00015,0.00250602
256,5.00013,0.00244955
257,5.0001,0.0049434
258,5.00026,0.00249349
259,5.00018,0.00243974
260,5.0002,0.00250191
261,5.0002,0.00250732
262,5.00031,0.00251295
263,4.99985,0.00459408
264,5.00046,0.00273754
265,5.00029,0.00248497
266,5.00024,0.00244794
267,5.00033,0.00244773
268,5.00015,0.0025024
269,5.00013,0.0025654
270,5.00023,0.0049452
271,5.0002,0.00254678
272,5.0002,0.00245049
273,5.00005,0.00250405
274,5.00026,0.00260524
275,5.00023,0.00244132
276,5.00002,0.00254696
277,5.00015,0.00490821
278,5.0003,0.0025898
279,5.00017,0.0024839
280,5.00011,0.00244747
281,5.00005,0.00250432
282,5.0003,0.00250953
283,5.00005,0.00475854
284,5.00041,0.00254026
