Sample,"Volt avg 1","Curr avg 1"
0,5.00026,0.000119161
1,4.99935,0.00252067
2,4.99986,0.00017651
3,5.00017,0.000109561
4,4.99984,0.000114894
5,5.00044,0.000122246
6,4.99965,0.00588248
7,5.00021,-9.74201e-005
8,5.00031,0.000102755
9,4.99992,0.000113369
10,5.0005,0.000117261
11,5.00036,0.000116642
12,5.00006,0.000115612
13,5.00024,0.000117496
14,5.00006,0.000117816
15,4.9998,0.00011661
16,4.99964,0.00579196
17,5.00086,-3.90735e-005
18,4.99981,0.000102049
19,4.99971,0.000113896
20,5.00036,0.00011499
21,4.99999,0.000116975
22,5.00045,0.00011556
23,5.00041,0.000118798
24,5.00002,0.000116118
25,5.00059,0.000116765
26,4.99838,0.00193831
27,5.00169,0.00388021
28,5.00052,3.1612e-005
29,4.99994,0.00010724
30,5.00005,0.000115287
31,5.0001,0.000115381
32,4.99984,0.000116753
33,4.9999,0.000115696
34,4.99979,0.000116183
35,5.00038,0.000120285
36,5.00019,0.000117758
37,4.99969,0.00584785
38,5.00043,-7.79777e-005
39,5.00036,9.72596e-005
40,5.00058,0.000114775
41,5.00036,0.000113896
42,5.00026,0.000117462
43,5.00019,0.000117095
44,4.99981,0.000117151
45,4.99977,0.000118534
46,4.99999,0.000115451
47,4.9994,0.00190246
48,5.00093,0.000893698
49,5.00016,9.5631e-005
50,4.99945,0.000111118
51,4.99967,0.00011807
52,5.0001,0.00467495
53,5.00068,2.80946e-005
54,5.00025,0.000104324
55,5.00005,0.000114201
56,5.0003,0.000116796
57,5.00042,0.000116084
58,5.00015,0.000117928
59,5.0001,0.000117985
60,4.99896,0.00578524
61,5.00061,2.17329e-005
62,5.00071,0.000101372
63,4.99995,0.000111207
64,5.00003,0.000115278
65,5.00023,0.000118529
66,5.00032,0.000117705
67,4.9998,0.000114413
68,5.00035,0.000118971
69,5.00011,0.000116065
70,5.00028,0.000121844
71,4.99955,0.0027377
72,5.0003,1.62498e-005
73,5.00033,0.000109629
74,5.00011,0.000116682
75,4.999,0.0034015
76,5.00153,0.00129391
77,4.99995,8.35209e-005
78,5.0001,0.00011219
79,5.00018,0.000114921
80,4.9997,0.000117445
81,5.00055,0.00011731
82,5.00036,0.000118292
83,4.99928,0.000299181
84,5.00067,0.00560182
85,5.00037,-2.07702e-005
86,5.00063,0.000106697
87,5.00028,0.00011243
88,5.00039,0.000117607
89,5.00003,0.00011567
90,5.0002,0.000116882
91,5.00051,0.000118708
92,4.99987,0.000116308
93,5.00021,0.000119241
94,4.99987,0.00263926
95,5.0005,0.000136201
96,4.99983,0.00010858
97,4.9998,0.000115333
98,5.00017,0.000121295
99,4.9999,0.00582158
100,5.0002,-5.09004e-005
101,4.99998,0.000106296
102,5.00041,0.000114028
103,5.00042,0.000114971
104,5.00025,0.000115582
105,4.99994,0.000120276
106,4.99989,0.000115727
107,4.99995,0.000117213
108,5.00077,0.0001169
109,4.99963,0.00261972
110,5.00085,0.00016273
111,5.00028,0.000110775
112,4.99987,0.00011371
113,4.99998,0.000121223
114,4.9996,0.00479063
115,5.00029,-7.39209e-005
116,5.00042,0.000103274
117,4.99987,0.000115814
118,5.00011,0.000116514
119,5.00028,0.000117014
120,4.99993,0.000117811
121,4.99996,0.000116856
122,4.9993,0.00581892
123,4.99992,-4.16833e-005
124,5.00043,9.9954e-005
125,5.00038,0.000113037
126,4.99996,0.000116135
127,5,0.000116334
128,5.00014,0.000115557
129,5,0.000117211
130,5.00023,0.000118397
