Sample,"Volt avg 1","Curr avg 1"
0,5.00028,5.59539e-005
1,4.99997,5.7023e-005
2,5.00016,5.63477e-005
3,5.00037,5.63944e-005
4,5.0003,5.73234e-005
5,5.00027,5.58948e-005
6,5.00001,5.7012e-005
7,5.00018,5.60453e-005
8,4.9997,5.70568e-005
9,4.99784,0.0224431
10,5.00168,-0.000266447
11,5.00046,-2.38894e-005
12,4.99946,3.81908e-005
13,5.00071,5.34484e-005
14,5.00016,5.84782e-005
15,5.00012,5.6783e-005
16,5.00019,5.80066e-005
17,4.99983,5.6467e-005
18,5.00011,5.76997e-005
19,5.0001,5.66507e-005
20,4.99995,5.72371e-005
21,4.99991,5.78502e-005
22,4.99985,5.60013e-005
23,5.00037,5.70782e-005
24,4.99994,5.65624e-005
25,4.99996,5.73903e-005
26,5.00001,5.78723e-005
27,5.00022,5.67272e-005
28,5.00045,5.53337e-005
29,5.00005,5.64988e-005
30,5.00038,5.65838e-005
31,5.00042,5.65138e-005
32,5.00062,5.73267e-005
33,5.00002,5.81103e-005
34,5.00047,5.71969e-005
35,4.99867,0.0226103
36,5.00159,-0.000396082
37,5.00002,-9.03104e-007
38,5.00051,4.28081e-005
39,5.00018,5.57384e-005
40,4.99999,5.72359e-005
41,5,5.6964e-005
42,5.00039,5.6458e-005
43,4.99976,5.81169e-005
44,5.00004,5.59098e-005
45,5.00013,5.78918e-005
46,5.0001,5.60337e-005
47,4.99994,5.63236e-005
48,4.99996,5.78548e-005
49,5.00014,5.53771e-005
50,4.99964,5.60447e-005
51,5.0001,5.83128e-005
52,4.99997,5.76349e-005
53,4.9998,5.53291e-005
54,4.99993,5.66117e-005
55,5.00039,5.74863e-005
56,4.99977,5.62692e-005
57,4.99972,5.78586e-005
58,5.00016,5.5322e-005
59,5.00042,5.68627e-005
60,5.00018,5.67726e-005
61,4.99976,0.0227616
62,5.00126,-0.000368781
63,5.00006,5.08162e-006
64,5.00014,4.51955e-005
65,5.00019,5.56386e-005
66,5.00032,5.71839e-005
67,5.00011,5.59201e-005
68,4.99974,5.91107e-005
69,4.99984,5.71489e-005
70,5.00027,5.54407e-005
71,4.99985,5.77619e-005
72,5.00026,5.66707e-005
73,5.00029,5.5636e-005
74,5.00034,5.80754e-005
75,5.00004,5.68239e-005
76,5.00006,5.65767e-005
77,5.00028,5.78859e-005
78,5.00027,5.41899e-005
79,4.99977,5.68264e-005
80,5.00007,5.78074e-005
81,5.0002,5.61109e-005
82,5.00044,5.75323e-005
83,4.99969,5.47115e-005
84,5.00013,5.75005e-005
85,5.0001,5.74324e-005
86,5.00039,5.57048e-005
87,4.99949,0.023147
88,5.00106,-0.000355766
89,5.00041,6.98697e-006
90,5.00026,4.77406e-005
91,5.00048,5.42781e-005
92,5.00001,5.87929e-005
93,5.00058,5.70457e-005
94,5.00022,5.6999e-005
95,5.00039,5.92515e-005
96,5.0003,5.5518e-005
97,5.00047,5.71625e-005
98,5.00004,5.6746e-005
99,5.0001,5.63127e-005
100,5.00031,5.82336e-005
101,5.00036,5.62399e-005
102,4.99988,5.66429e-005
