Sample,"Volt avg 1","Curr avg 1"
0,5.00018,0.000108579
1,4.99978,6.89018e-005
2,5.00034,6.08928e-005
3,5.00007,5.89279e-005
4,4.99941,0.000576916
5,4.99912,0.0168165
6,5.00093,0.00420457
7,5.00097,0.00108685
8,5.00029,0.000303456
9,5.00007,0.000101813
10,4.99992,6.71332e-005
11,4.9999,6.01987e-005
12,5.0005,5.98815e-005
13,4.99755,0.00656132
14,5.00061,0.0138946
15,5.00145,0.00314367
16,5.00051,0.000869764
17,5.00031,0.000233283
18,5.00043,8.93345e-005
19,5.00004,6.43631e-005
20,4.99999,6.09876e-005
21,5.00023,6.01085e-005
22,4.99723,0.011338
23,5.00134,0.0110074
24,5.00092,0.00245805
25,5.0001,0.000727715
26,5.00069,0.000190433
27,5.00046,8.16051e-005
28,4.9999,6.33309e-005
29,4.9999,6.04433e-005
30,5.00017,6.04447e-005
31,5.00078,5.97945e-005
32,4.99806,0.0183757
33,5.00141,0.0057606
34,5.00047,0.00138939
35,5.00044,0.000407399
36,5.00043,0.000120207
37,5.00032,7.01448e-005
38,5.00021,6.20768e-005
39,4.99992,6.00132e-005
40,5.00009,6.03551e-005
41,4.99765,0.00359627
42,5.00041,0.0150241
43,5.00078,0.00344667
44,5.0011,0.000931178
45,5.00074,0.000253069
46,4.99985,9.30388e-005
47,5.00012,6.59746e-005
48,5.00002,6.02162e-005
49,5.00074,5.91082e-005
50,4.99802,0.00773445
51,5.00125,0.0131093
52,5.00093,0.00295215
53,5.00051,0.000833227
54,5.00036,0.000223001
55,4.99988,8.61919e-005
56,4.99992,6.5296e-005
57,5.00051,6.07898e-005
58,5.00009,5.96738e-005
59,4.99801,0.00463674
60,5.00065,0.0153541
61,5.00114,0.00352036
62,5.00063,0.000945013
63,5.00037,0.000258006
64,5.00013,9.36811e-005
65,4.99999,6.55893e-005
66,4.99984,6.04796e-005
67,5.00015,5.99781e-005
68,4.99857,0.00134757
69,5.00016,0.0168134
70,5.00105,0.00409827
71,5.00042,0.00106447
72,5.0003,0.000295481
73,4.99998,0.000100229
74,5.00041,6.66097e-005
75,4.99986,6.0211e-005
76,4.99997,5.8957e-005
77,4.997,0.00384227
78,5.00053,0.0141129
79,5.00103,0.00322217
80,5.00092,0.00089027
81,5.00032,0.000240047
82,5.00008,9.00533e-005
83,5.00007,6.48133e-005
84,5.00055,6.12023e-005
85,5.00032,5.96213e-005
86,4.99787,0.0125745
87,5.00138,0.00935404
88,5.00056,0.00210775
89,4.99989,0.000638796
90,5.00029,0.000167771
91,5.00001,7.79773e-005
92,5.00019,6.31343e-005
93,5.00053,5.9476e-005
94,4.99999,6.00371e-005
95,4.99771,0.0140821
96,5.00158,0.00814977
97,5.00036,0.00186336
98,5.00077,0.000571048
99,4.99978,0.000152361
100,5.00038,7.53706e-005
101,4.99986,6.19238e-005
102,4.99999,6.10479e-005
103,5.00005,6.00631e-005
104,4.99743,0.00996329
105,5.00138,0.0104875
106,5.00067,0.00235934
107,5.00057,0.000707533
108,4.99981,0.000184634
109,5.00024,8.08727e-005
110,5.00013,6.39388e-005
111,4.99995,6.10563e-005
112,5.00023,5.86313e-005
113,4.99729,0.00776354
114,5.00107,0.0130874
115,5.00104,0.00296983
116,5.00008,0.000840076
117,4.99978,0.000225524
118,5.00003,8.80285e-005
119,5.00019,6.48626e-005
120,5.00028,6.13587e-005
121,5.00009,5.96045e-005
122,4.99799,0.00782744
123,5.00101,0.01212
124,5.001,0.00274654
125,5.00045,0.000795929
126,5.00031,0.000210819
127,5.00023,8.53186e-005
128,5.00015,6.47997e-005
129,4.99999,6.03901e-005
130,4.99998,5.9631e-005
131,4.9975,0.00877235
132,5.00104,0.0120607
133,5.00088,0.00273829
134,5.00034,0.000796157
135,5.00053,0.000212799
136,5.00037,8.49514e-005
137,4.99989,6.44312e-005
138,5.00031,6.05205e-005
