Sample,"Volt avg 1","Curr avg 1"
0,4.99998,6.0837e-005
1,5.00024,5.96369e-005
2,5.00007,5.89907e-005
3,4.99955,0.000477182
4,4.99985,0.0117436
5,5.00072,0.005921
6,5.00056,0.00284751
7,5.0005,0.00143137
8,4.99999,0.000800985
9,5.0005,0.000408528
10,5.0002,0.000223267
11,5.00041,0.000136407
12,4.99974,9.56507e-005
13,5.00031,7.71391e-005
14,5.00037,6.83491e-005
15,5.00021,6.37591e-005
16,4.99988,6.13931e-005
17,5.00062,6.01585e-005
18,4.99988,5.95713e-005
19,5.00011,5.89394e-005
20,4.99853,0.00118614
21,5.00026,0.0118561
22,5.00044,0.00577673
23,5.00055,0.0027814
24,4.99998,0.00140302
25,5.00051,0.000784461
26,5.00012,0.000398662
27,5.00009,0.000218927
28,5.00009,0.000134868
29,5.00019,9.51265e-005
30,4.99976,7.75322e-005
31,5.00024,6.77801e-005
32,4.99993,6.37987e-005
33,5.00031,6.11219e-005
34,5.00044,6.02682e-005
35,5.00027,5.9705e-005
36,4.99999,5.90971e-005
37,5.00045,5.90647e-005
38,4.99833,0.00992823
39,5.00091,0.00735648
40,5.00045,0.00351391
41,5.00023,0.00172904
42,5.00044,0.000965388
43,5.00038,0.000492276
44,4.9999,0.000262164
45,5.00023,0.000155469
46,5,0.00010501
47,5.00031,8.12373e-005
48,5.00024,6.98996e-005
49,5.00028,6.44883e-005
50,4.99977,6.13405e-005
51,4.99984,5.99288e-005
52,5.00007,5.95046e-005
53,4.99993,5.96985e-005
54,4.99995,5.93197e-005
55,4.99877,0.00337461
56,5.00026,0.0104356
57,5.00031,0.00497565
58,5.0004,0.00240856
59,5.00028,0.00124453
60,5.00015,0.000679076
61,5.00001,0.000349404
62,5.00008,0.000195199
63,5.00041,0.000123181
64,5.0001,9.03653e-005
65,5.00006,7.41509e-005
66,5.00038,6.71022e-005
67,5.00017,6.33504e-005
68,5.00016,6.10168e-005
69,5.00024,5.95376e-005
70,5.00039,5.97004e-005
71,4.99954,5.86865e-005
72,4.99973,0.000339904
73,4.99933,0.011818
74,5.00067,0.00604422
75,5.00042,0.00290231
76,5.00046,0.0014556
77,4.99986,0.000818183
78,5.00038,0.000413788
79,4.99998,0.00022578
80,5.00025,0.000138251
81,5.00005,9.68606e-005
82,5.00006,7.71663e-005
83,5.00027,6.81985e-005
84,5.00007,6.32991e-005
85,5.00014,6.14463e-005
86,5.00014,6.10492e-005
87,5.00056,5.9655e-005
88,5.00003,5.84269e-005
89,5.00029,5.96446e-005
90,4.99861,0.0111436
91,5.00071,0.00627671
92,5.00077,0.00300749
93,5.00052,0.00150192
94,5.00036,0.000844172
95,5.00006,0.000425967
96,4.99983,0.000231654
97,5.00008,0.000140721
98,5.00012,9.8009e-005
99,4.99972,7.84223e-005
100,4.99999,6.82926e-005
101,5.00102,6.36625e-005
102,5.0003,6.0429e-005
103,5.00025,6.04906e-005
104,5.00015,5.92444e-005
105,5.00009,5.88506e-005
106,4.99804,0.00163135
107,4.99969,0.0116123
108,5.00071,0.00559859
109,5.00065,0.002699
110,4.99999,0.00136698
111,5.00031,0.000756235
112,5.0001,0.000387131
113,5.00041,0.000212953
114,5.00031,0.000132109
115,5.00036,9.37661e-005
116,5.00022,7.59039e-005
117,5.00032,6.74959e-005
118,5.00016,6.34645e-005
119,4.99966,6.15948e-005
120,4.99946,5.98179e-005
121,5.00009,5.9764e-005
122,4.99964,5.86956e-005
123,5.00057,5.84866e-005
124,4.99844,0.00986717
125,5.00081,0.00699891
126,5.00068,0.00334185
127,5.00083,0.00165105
128,4.9999,0.000925822
129,5.00019,0.000468913
130,4.99967,0.000251774
131,5.00031,0.000150266
132,5.00014,0.000102304
133,5.00018,8.02673e-005
134,4.99996,6.96797e-005
135,5.0002,6.3604e-005
136,5.00011,6.14236e-005
137,5.00029,6.03479e-005
138,4.99999,5.92458e-005
139,5.00072,5.92995e-005
140,5.00014,5.91899e-005
141,4.99869,0.0108552
142,5.00049,0.00642815
143,5.00057,0.00308048
144,4.99957,0.0015301
145,5.00012,0.000856704
146,5.00003,0.000436909
147,4.99974,0.000235923
148,4.99986,0.000142823
149,5.00075,9.89678e-005
150,4.99987,7.8539e-005
151,5.00037,6.87992e-005
152,5.00012,6.40277e-005
153,5.00031,6.13995e-005
154,5.0003,6.06508e-005
155,5.00025,5.94442e-005
156,5.00007,5.86818e-005
157,5.00035,5.86229e-005
158,4.99845,0.0113484
159,5.0008,0.00706461
160,5.00069,0.00337394
161,5.00005,0.0016654
162,4.99997,0.000931917
163,5.00015,0.000473522
164,5.00027,0.000254218
165,4.99984,0.000151592
166,5.0001,0.000103174
167,5.00029,8.07883e-005
168,4.99997,6.92567e-005
169,5.00017,6.49236e-005
170,5.00027,6.15767e-005
171,4.99984,6.10959e-005
172,5.00029,5.9943e-005
173,5.0001,5.91555e-005
174,5.00021,5.87675e-005
175,4.9989,0.00258195
176,5.00054,0.0111199
177,5.00026,0.00530864
